"level_id",bonus,"bonus_dec","bonus_fix","country_id",description,flag,hint,"iso_code",penalty,points,title,type
1,0,0,0,21,"Really not much of a clue needed, find the flag (link below).","acsc2017{FrameByFrame}","GIMP is easily able to open up the individual laywers of a .gif image",CG,30,40,"animate_me",flag
10,0,0,0,92,"Once again, need to find the stack but this time, we're not looking for an address at all. Click the link below to download the image.  Find the normal flag (acsc2017{######})

Hint:  What's difference between this file and the file used in the first one?","acsc2017{FindOtherSources}","Do some research on how Flickr names their files.",NA,75,100,"find_the_stack2",flag
11,0,0,0,141,"Oh wow!  Look at all these flags!!!  Hmmm QRCodes again?  Wait, not all of these are QRCodes.  

Use your Fu to decode these obscure bar codes.  There's plenty of free programs/apps once you know what format these are in.

","acsc2017{a_little_like_last_year_is_ok}","Look at using iOS Tool called ""Scanner"" and Windows tool called ""Barcode Reader Firmware"" free trial",VE,60,80,QRPartDeux,flag
12,0,0,0,163,"1. You have been given a public key encryption program based on RSA that has a mistake in it (link below).
2. Your job is to decrypt the file
3. There are no tricks in the source code, you may believe the comments that tell you which parts of the code to ignore
4. It would be __extremely__ prudent to use the provided skeleton as a starting point. 
5. Good Luck!","acsc2017{AnEncryptedFlg}","This implemention leaks one of the secret primes used in RSA.  With both primes the secret phi of n can be computed as (p-1) * (q-1). The code for this is in the RSA implementation provided to the competitors in the challenge.",GY,67,90,"broken_rsa",flag
14,0,0,0,109,"The attached script is currently listening at 52.35.79.40:5007.  Connect and find the flag.  Source code in link below","acsc2017{congrats_on_winning_the_race}","Insecure temporary file usage. Users can overwrite temporary files from other threads. Since the version option writes a command to a file and then executes it, a user can overwrite the version command with an arbitrary commmand.",PY,37,50,"temp_files",flag
15,0,0,0,111,"Situation:  The year is 2019 and you're a bladerunner.  You have received a report that there is a replicant has managed to get themselves employeed at Tyrell.  Unfortunately the details are slim and your little eye machine is out of action (parts have been on order for over a year).  So, you're forced to take the little bit of information that you have on the likely replicant and go through the Tyrell personnel records and find them.  Unfortunately, Tyrell is still partying like its 1899 and isn't using a database system and instead has a simple page with information for each person on it.  Connect to the records system at 52.35.79.40:5004.

What do we know?

Today is 3/12/2036
Replicants generally have a 4 year life span
Female
Between 5'6 and 5'8
Red Hair
Brown Eyes

Hint:  4 year life span means it must have been working for the company for less than 4 years","acsc2017{IHopeYouScriptedThis}","There are several python modules out there (BeautifulSoup is very popular) that can scrape a website.  ",RO,45,60,"soupy_files",flag
16,0,0,0,54,"Read the flag. ssh -p 2222 overflow1@52.35.79.40 Password is ""overflow"".  Link to source code below.

WARNING:  Everything you do is gone as soon as you leave, so save your stuff locally if you want to keep it.","acsc2017{nothing_on_the_stack_is_safe}","",ID,0,30,overflow1,flag
17,0,0,0,87,"Read the flag. ssh -p 2222 overflow2@52.35.79.40 Password is ""overflow"".  Link to source code below.

WARNING:  Everything you do is gone as soon as you leave, so save your stuff locally if you want to keep it.","acsc2017{look_out_we_got_a_stack_wizard_over_here}","",MN,0,40,overflow2,flag
18,0,0,0,85,"Read the flag. ssh -p 2222 overflow3@52.35.79.40 Password is ""overflow"".  Link to source code below.

WARNING:  Everything you do is gone as soon as you leave, so save your stuff locally if you want to keep it.","acsc2017{now_you_control_the_flow}","",ML,0,50,overflow3,flag
19,0,0,0,137,"Read the flag. ssh -p 2222 overflow4@52.35.79.40 Password is ""overflow"".  Link to source code below.

WARNING:  Everything you do is gone as soon as you leave, so save your stuff locally if you want to keep it.","acsc2017{eip_is_all_you_need}","",UA,0,50,overflow4,flag
2,0,0,0,164,"Someone thought that using telnet was a good idea.  Guess this should make your job a lot easier.....Find the flag (link below).","acsc2017{UseSSHDummy}","Try looking at each side of the conversation individually",HN,22,30,"find_the_flag",flag
